legacy_commodity_id,duplicate_no,legacy_fund_id,legacy_location_id,legacy_period_id,amount,unit,unit_abbr
15206,2,2644,87319,1756855,-81.29,"dollars","$"
15206,1,3787,87319,1756855,1470870.33,"dollars","$"
15526,1,2636,87319,1756855,17879894,"dollars","$"
15529,2,2612,87319,1756855,286840.11,"dollars","$"
15529,1,2626,87319,1756855,71710.64,"dollars","$"
15529,1,2636,87319,1756855,651132.05,"dollars","$"
15529,1,2638,87319,1756855,801682.24,"dollars","$"
15529,2,2640,87319,1756855,3206729.46,"dollars","$"
15529,2,2644,87319,1756855,8972742.07,"dollars","$"
15529,1,2648,87319,1756855,83.81,"dollars","$"
15529,1,4169,87319,1756855,1249943.54,"dollars","$"
15529,1,4171,87319,1756855,535697.5,"dollars","$"
15547,1,2638,87319,1756855,585672.86,"dollars","$"
15547,1,2640,87319,1756855,2342697.21,"dollars","$"
15547,1,2644,87319,1756855,3426.12,"dollars","$"
15547,1,2648,87319,1756855,11519841.68,"dollars","$"
15549,1,2638,87319,1756855,14934241.05,"dollars","$"
15549,1,2640,87319,1756855,59736968.65,"dollars","$"
15549,1,2644,87319,1756855,66964.06,"dollars","$"
15549,1,2648,87319,1756855,336666291.11,"dollars","$"
15206,2,2607,87324,1756855,40867.38,"dollars","$"
15206,1,2633,87324,1756855,6298763.85,"dollars","$"
15524,1,3791,87324,1756855,326569.65,"dollars","$"
15529,2,2607,87324,1756855,3126693.49,"dollars","$"
15529,1,2616,87324,1756855,1466018.19,"dollars","$"
15529,1,2618,87324,1756855,10338969.93,"dollars","$"
15529,1,2633,87324,1756855,379995.83,"dollars","$"
15529,1,2639,87324,1756855,2403876.8,"dollars","$"
15529,2,2647,87324,1756855,6407271.45,"dollars","$"
15529,1,3778,87324,1756855,235407.17,"dollars","$"
15529,1,3783,87324,1756855,1.17,"dollars","$"
15529,1,3785,87324,1756855,222.94,"dollars","$"
15529,1,3788,87324,1756855,3.08,"dollars","$"
15529,1,3790,87324,1756855,818.5,"dollars","$"
15529,1,3791,87324,1756855,31421.12,"dollars","$"
15529,1,3794,87324,1756855,-580375.33,"dollars","$"
15529,1,3795,87324,1756855,6716790.5,"dollars","$"
15530,2,2607,87324,1756855,2438.21,"dollars","$"
15530,1,2616,87324,1756855,20615.55,"dollars","$"
