calendar_year,corporate_name,revenue_agency_type,revenue_agency,revenue_type,commodity,commodity_order,raw_revenue,revenue
2014,POC-I LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$6,180.06",6180.06
2022,SEMPRA ENERGY,ONRR/BLM - Rents,ONRR/BLM,Rents,N/a,N/a,$314.00,314.00
2019,ENCANA CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$922.00,922.00
2023,ARB ENERGY UTAH LLC,ONRR - Royalties,ONRR,Royalties,Oil,1,"$2,195.62",2195.62
2013,DOE RUN CO,ONRR/BLM - Rents,ONRR/BLM,Rents,Hardrock,Hardr,$700.00,700.00
2015,HESS CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,"$1,672.00",1672.00
2016,FMC CORP,ONRR - Royalties,ONRR,Royalties,Other commodities,Other,"$5,300,091.83",5300091.83
2017,ENCANA CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$729.00,729.00
2017,HESS CORP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$12,724,416.81",12724416.81
2021,BHP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$7,059,215.60",7059215.60
2022,CARBON CREEK ENERGY LLC,ONRR/BLM - Rents,ONRR/BLM,Rents,N/a,N/a,"$4,326.00",4326.00
2016,SM ENERGY CO,ONRR - Royalties,ONRR,Royalties,Gas,2,"$894,868.16",894868.16
2015,J P INC,ONRR - Royalties,ONRR,Royalties,Oil,1,"$252,311.56",252311.56
2015,POC-I LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$3,544.64",3544.64
2013,CLOUD PEAK ENERGY RESOURCES LLC,ONRR/BLM - Rents,ONRR/BLM,Rents,Coal,5,"$100,997.00",100997.00
2013,POC-I LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$10,459.00",10459.00
2014,CHEVRON CORP,ONRR/BLM - Rents,ONRR/BLM,Rents,Coal,5,"$23,598.00",23598.00
2018,RESOLUTE ENERGY CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$729.00,729.00
2020,MESSER INDUSTRIE GMBH,ONRR - Royalties,ONRR,Royalties,Gas,2,$325.00,325.00
2021,ENERVEST LTD,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,"$1,744.00",1744.00
2013,FOREST OIL CORP,ONRR - Royalties,ONRR,Royalties,Oil,1,"$101,071.62",101071.62
2016,STATOIL,ONRR - Royalties,ONRR,Royalties,Oil,1,"$29,638,820.02",29638820.02
2018,SEELEY OIL CO,ONRR - Royalties,ONRR,Royalties,Oil,1,"$99,846.38",99846.38
2019,THE TERMO CO,ONRR - Royalties,ONRR,Royalties,Oil,1,"$248,711.28",248711.28
2013,KENNEDY OIL,ONRR - Royalties,ONRR,Royalties,Gas,2,"$82,409.09",82409.09
2013,TEXON LP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$220,384.94",220384.94
2014,FMC CORP,ONRR/BLM - Rents,ONRR/BLM,Rents,Sodium,Sodiu,"$25,039.00",25039.00
2015,BML INC,ONRR - Royalties,ONRR,Royalties,Oil,1,"$2,646,876.16",2646876.16
2016,HUNT OIL CO,ONRR - Royalties,ONRR,Royalties,Gas,2,"$12,946.81",12946.81
2016,J P INC,ONRR - Royalties,ONRR,Royalties,Oil,1,"$162,032.27",162032.27
2016,MACK ENERGY CORP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$274,039.91",274039.91
2016,STATOIL,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,"$2,142.60",2142.60
2016,TIMBERLINE PROD CO,ONRR - Royalties,ONRR,Royalties,Oil,1,"$115,766.59",115766.59
2017,DEVON ENERGY CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$729.00,729.00
2017,STATOIL,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,$729.00,729.00
2017,TARPON,ONRR - Royalties,ONRR,Royalties,Gas,2,"$297,598.19",297598.19
2018,CRUX1 LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$1,991,033.96",1991033.96
2018,GRYNBERG JACK J,ONRR - Royalties,ONRR,Royalties,Gas,2,$755.91,755.91
2018,MCELVAIN ENERGY INC,ONRR - Royalties,ONRR,Royalties,Oil,1,"$1,679.55",1679.55
2018,POC-I LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$1,831.51",1831.51
2018,WPX ENERGY INC,ONRR - Royalties,ONRR,Royalties,Gas,2,"$12,097,575.73",12097575.73
2019,ASCENT ENERGY LLC,ONRR - Royalties,ONRR,Royalties,Gas,2,$994.53,994.53
2019,INPEX CORP,ONRR - Royalties,ONRR,Royalties,Gas,2,"$42,936.30",42936.30
2019,TATA GROUP,ONRR/BLM - Rents,ONRR/BLM,Rents,Sodium,Sodiu,$835.00,835.00
2020,ENEL SPA,ONRR - Royalties,ONRR,Royalties,Gas,2,"$32,529.50",32529.50
2020,REPSOL SA,ONRR - Royalties,ONRR,Royalties,Gas,2,"$507,418.91",507418.91
2020,SCYTHIAN LTD,ONRR - Royalties,ONRR,Royalties,Gas,2,"$88,904.20",88904.20
2021,AGC INC,ONRR - Royalties,ONRR,Royalties,Soda ash,Soda ,"$745,066.58",745066.58
2021,GRIZZLY ENERGY LLC,ONRR - Royalties,ONRR,Royalties,Oil,1,"$385,090.32",385090.32
2021,NIRMA LTD,ONRR - Other Revenues,ONRR,Other Revenues,Sodium,Sodiu,$239.71,239.71
2022,CITIZEN ENERGY LLC,ONRR - Royalties,ONRR,Royalties,Oil,1,"$746,162.41",746162.41
2022,IBERDROLA S A,ONRR - Other Revenues,ONRR,Other Revenues,N/a,N/a,"$95,413.40",95413.40
2022,SOLVAY,ONRR - Other Revenues,ONRR,Other Revenues,Sodium,Sodiu,"$5,249.59",5249.59
