legacy_id,disbursement_type,class,type,recipient,revenue_type,source
2638,"OCS Gulf","Land and Water Conservation Fund","Land & Water Conservation Fund - OCS Gulf","Land and Water Conservation Fund","Royalties","OCS Gulf"
2640,"OCS Gulf","U.S. Treasury","U.S. Treasury - OCS Gulf","U.S. Treasury","Royalties","OCS Gulf"
2668,"","State and local governments","State - OCS Gulf","State","","OCS Gulf"
2669,"","U.S. Treasury","U.S. Treasury - OCS Gulf","U.S. Treasury","","OCS Gulf"
2602,"OCS Gulf","State and local governments","State - OCS Gulf","State","Sequestration","OCS Gulf"
2603,"OCS Gulf","State and local governments","State - OCS Gulf","County","Sequestration","OCS Gulf"
2605,"OCS Gulf","State and local governments","State - OCS Gulf","State","Other Distributions","OCS Gulf"
2612,"OCS Gulf","U.S. Treasury","U.S. Treasury - OCS Gulf","U.S. Treasury","Rents & Bonuses","OCS Gulf"
2619,"OCS Gulf","State and local governments","State - OCS Gulf","County","Other Distributions","OCS Gulf"
2626,"OCS Gulf","Land and Water Conservation Fund","Land & Water Conservation Fund - OCS Gulf","Land and Water Conservation Fund","Rents & Bonuses","OCS Gulf"
2588,"","","","","Royalties","Onshore"
2589,"","","","","Bonus","Offshore"
2590,"","","","","Bonus","Not Tied to a Lease"
2591,"","","","","Other revenues","Offshore"
2592,"","","","","Other revenues","Not Tied to a Lease"
2593,"","","","","Rents","Not Tied to a Lease"
2594,"","","","","Rents","Offshore"
2595,"","","","","Inspection fees","Offshore"
2596,"","","","","Rents","Onshore"
2597,"","","","","Other revenues","Onshore"
2598,"","","","","Royalties","Offshore"
2599,"","","","","Bonus","Onshore"
2600,"","","","","Civil penalties","Not Tied to a Lease"
2601,"Geothermal","State and local governments","State","County","Royalties","Onshore"
2604,"","Other funds","Fish & Wildlife","","Rents & Bonuses","Onshore"
2606,"","Other funds","BLM-Nav Petrol Reserve-2","","Other Distributions","Onshore"
2607,"","U.S. Treasury","U.S. Treasury","U.S. Treasury","Other Distributions","Onshore"
2608,"","Other funds","Lease Process Improvement (BLM)","","Other Distributions","Onshore"
2609,"8(g)","State and local governments","State 8(g)","State","Rents & Bonuses","8(g) offshore"
2610,"","Other funds","Bureau of Safety & Environmental Enforcement","","Rents & Bonuses","Offshore"
2611,"","Land and Water Conservation Fund","Land & Water Conservation Fund","Land and Water Conservation Fund","Royalties","Offshore"
2613,"","Other funds","Bureau of Land Management","","Royalties","Onshore"
2614,"","Other funds","Bureau of Ocean Energy Management","","Royalties","Offshore"
2615,"","Other funds","Bureau of Safety & Environmental Enforcement","","Other Distributions","Offshore"
2616,"","Reclamation Fund","Reclamation Fund","Reclamation Fund","Royalties","Onshore"
2617,"","Native American tribes and individuals","Native American Tribes & Allottees","Native American tribes and individuals","Royalties","Onshore"
2618,"","Reclamation Fund","Reclamation Fund","Reclamation Fund","Other Distributions","Onshore"
2620,"","Historic Preservation Fund","Historic Preservation Fund","Historic Preservation Fund","Rents & Bonuses","Offshore"
2621,"State","State and local governments","State","State","Rents & Bonuses","Onshore"
2622,"","Native American tribes and individuals","Native American Tribes & Allottees","Native American tribes and individuals","Other Distributions","Onshore"
2623,"","Other funds","Forest Service","","Royalties","Onshore"
2624,"","Other funds","Lease Process Improvement (BLM)","","Rents & Bonuses","Onshore"
2625,"8(g)","State and local governments","State 8(g)","State","Other Distributions","8(g) offshore"
2627,"","Native American tribes and individuals","Native American Tribes & Allottees","Native American tribes and individuals","Rents & Bonuses","Onshore"
2628,"Geothermal","State and local governments","State","County","Other Distributions","Onshore"
2629,"State","State and local governments","State","State","Other Distributions","Onshore"
2630,"","Land and Water Conservation Fund","Land & Water Conservation Fund","Land and Water Conservation Fund","Other Distributions","Offshore"
2631,"Geothermal","State and local governments","State","State","Other Distributions","Onshore"
2632,"","Other funds","Fish & Wildlife","","Other Distributions","Onshore"
2633,"","U.S. Treasury","U.S. Treasury","U.S. Treasury","Royalties","Onshore"
2634,"","Land and Water Conservation Fund","Land & Water Conservation Fund","Land and Water Conservation Fund","Rents & Bonuses","Offshore"
2635,"Geothermal","State and local governments","State","County","Rents & Bonuses","Onshore"
2636,"","U.S. Treasury","U.S. Treasury","U.S. Treasury","Rents & Bonuses","Offshore"
2637,"","Other funds","Bureau of Ocean Energy Management","","Other Distributions","Offshore"
2639,"","Reclamation Fund","Reclamation Fund","Reclamation Fund","Rents & Bonuses","Onshore"
2641,"Geothermal","State and local governments","State","County","Sequestration","Onshore"
2642,"State","State and local governments","State","State","Royalties","Onshore"
2643,"","Other funds","Bureau of Land Management","","Rents & Bonuses","Onshore"
2644,"","U.S. Treasury","U.S. Treasury","U.S. Treasury","Other Distributions","Offshore"
2645,"","Other funds","Bureau of Safety & Environmental Enforcement","","Royalties","Offshore"
2646,"","Other funds","Forest Service","","Rents & Bonuses","Onshore"
2647,"","U.S. Treasury","U.S. Treasury","U.S. Treasury","Rents & Bonuses","Onshore"
